category,name,broad,price,feature,discount,link,new
内配件,中高抽屉分隔件,MAXIMERA 马斯麦,¥ 49.00,,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
内配件,抽屉附加板,MAXIMERA 马斯麦,¥ 45.00,高,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
内配件,抽屉,MAXIMERA 马斯麦,¥ 370.00,中等高度,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,097.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
内配件,抽屉,MAXIMERA 马斯麦,¥ 160.00,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
内配件,高屉分隔件,MAXIMERA 马斯麦,¥ 69.00,低,False,http://www.ikea.com/cn/zh/catalog/products/20271255/,False
灶具,便携电磁炉,TILLREDA 提瑞达,¥ 249.00,,True,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
灶具,煤气灶,伊帝,"¥ 1,499.00",,False,http://www.ikea.com/cn/zh/catalog/products/50334954/,False
烤箱,烤箱托架,UTRUSTA 乌斯塔,¥ 100.00,,False,http://www.ikea.com/cn/zh/catalog/products/90301961/,False
烤箱,烤箱,格丽,"¥ 1,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/90301961/,False
烤箱,烤箱,玛西格,"¥ 3,999.00",,False,http://www.ikea.com/cn/zh/catalog/products/90301961/,False
米多操作台面,操作台面,利特拉,¥ 399.00,,False,http://www.ikea.com/cn/zh/catalog/products/40280659/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,045.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
标配厨房,厨房,KNOXHULT 诺克胡,"¥ 2,395.00",,False,http://www.ikea.com/cn/zh/catalog/products/S89202523/,False
洗碗机,前板连接轨道,VÅGLIG 威格利,¥ 150.00,,False,http://www.ikea.com/cn/zh/catalog/products/80308604/,False
踏脚凳和梯子,踏脚凳,MÄSTERBY 莫斯特比,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/90332081/,False
踏脚凳和梯子,踏脚凳,MÄSTERBY 莫斯特比,¥ 199.00,,False,http://www.ikea.com/cn/zh/catalog/products/90332081/,False
踏脚凳和梯子,梯子,贝卡姆,¥ 299.00,3步,False,http://www.ikea.com/cn/zh/catalog/products/90332081/,False
