category,index
内配件,5
冰箱 & 冰柜,5
厨房内置照明,5
厨房岛和推车,5
厨房橱柜和前板,5
墙面储藏件,5
墙面板,5
工具和安装件,5
抽油烟机和滤器,5
拉手和拉钮,5
标配厨房,5
洗碗机,5
灶具,5
烤箱,5
米多厨房龙头和水槽,5
米多操作台面,5
踏脚凳和梯子,5
食品贮藏室,5
肉,11
鱼和海产品,11
蔬菜和配菜,11
面包和奶制品,11
饮料,11
酱汁、果酱和调味品,11
蛋糕、甜点和饼干,11
糖果、巧克力和零食,11
冰包和烹饪书,11
户外用餐家具,12
休闲起居家具,1
户外收纳,17
户外靠垫,15
装饰性灯具,18
遮阳伞&亭子,20
户外花盆和植物,20
户外地板,20
烧烤,12
户外纺织品,13
无线充电器,6
手机无线充电外壳,1
工具和安装件,5
烤箱,5
灶具,5
抽油烟机和滤器,5
洗碗机,5
冰箱 & 冰柜,5
厨房橱柜和前板,5
米多厨房龙头和水槽,5
米多操作台面,5
拉手和拉钮,5
厨房内置照明,5
墙面储藏件,5
厨房岛和推车,5
踏脚凳和梯子,5
墙面板,5
食品贮藏室,5
标配厨房,5
餐桌,4
餐椅,4
餐厅桌椅,4
餐具柜,4
吧桌和吧椅,4
圆凳和长凳,4
咖啡馆家具,4
高脚椅,4
儿童椅,4
所有沙发,1
地毯,1
客厅储物系列,1
布艺沙发,1
顶灯,1
书柜,1
壁灯,1
电视及视听类家具,1
皮革与涂层布艺沙发,1
靠垫和靠垫套,1
搁架单元,1
沙发床,1
窗帘杆和轨道,1
落地灯,1
台灯,1
橱柜和展示柜,1
窗帘和百页帘,1
组合沙发,1
茶几和边桌,1
内置照明,1
单人沙发/扶手椅,1
毯子和休闲毯,1
餐边柜和长几,1
布料和缝纫用品,1
灯罩、灯座和电线,1
脚凳和矮凳,1
连壁搁板,1
储物盒和储物篮,1
备用沙发套,1
射灯,1
灯泡和配件,1
额外支腿,1
LED灯具,1
贵妃椅,1
木座弹簧床垫,7
衣柜,7
双人床,7
固定式衣柜,7
床上用品,7
弹簧床垫,7
顶灯,7
单人床,7
壁灯,7
开放式衣类储物系列,7
泡沫和乳胶床垫,7
被子,7
台灯,7
